Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e1_1489,valid,2,0.02,1,11,4,0.003,0.003,0.002,0,0.001,35032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e2_2673,valid,2,0.023,1,11,4,0.003,0.003,0.002,0,0.001,36928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e3_1753,valid,2,0.019,1,11,4,0.002,0.003,0.002,0,0.001,35064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9,valid,2,0.022,1,14,7,0.003,0.003,0.002,0,0.001,34900
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9_e7_170_e3_3647,valid,2,0.026,1,14,7,0.004,0.006,0.003,0,0.001,34828
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3,valid,3,0.085,1 0,75,49,0.028,0.025,0.015,0.001,0.005,36776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392,valid,3,0.105,1 0,75,49,0.03,0.027,0.017,0.001,0.008,37032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e1_3235,valid,3,0.104,1 0,75,49,0.031,0.029,0.02,0.001,0.008,36880
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e2_2689,valid,2,0.074,5,46,27,0.019,0.019,0.01,0.001,0.004,37140
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2952,valid,2,0.065,5,48,29,0.016,0.016,0.01,0.001,0.004,39100
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e1_1979,invalid,2,0.448,11 5,482,428,0.291,0.196,0.112,0.002,0.016,37016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897,invalid,2,0.424,11 5,476,422,0.273,0.181,0.105,0.002,0.017,36960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all,valid,2,0.051,4,30,14,0.008,0.011,0.008,0,0.003,39088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e2_3220,valid,2,0.047,4,30,14,0.009,0.011,0.006,0.001,0.003,38960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e1_768,valid,2,0.05,4,30,14,0.008,0.011,0.007,0.001,0.003,41116
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e7_998,invalid,2,0.049,2 1,28,7,0.004,0.009,0.006,0,0.006,34828
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b,valid,2,0.021,1,7,0,0.001,0.003,0.003,0,0.001,34820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e2_2893,valid,2,0.021,1,7,0,0,0.003,0.003,0,0.001,36840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e2_3049_e1_946,valid,2,0.019,1,7,0,0.001,0.003,0.003,0,0.001,37032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e6_1974,valid,2,0.021,1,7,0,0.001,0.003,0.003,0,0.001,35008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt,valid,2,0.024,1,12,5,0.004,0.004,0.005,0,0.001,38952
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e2_3353,valid,2,0.022,1,12,5,0.003,0.003,0.004,0,0.001,37128
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e1_1455,valid,2,0.023,1,12,5,0.003,0.003,0.004,0,0.001,37068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_2,valid,2,0.024,1,9,2,0.001,0.003,0.005,0,0.001,40992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_2_e1_834_e2_3395,valid,2,0.021,1,9,2,0.001,0.003,0.003,0,0.001,41180
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_3,valid,2,0.033,1,13,6,0.006,0.006,0.008,0.001,0.001,41080
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_4,valid,2,0.031,2,22,12,0.007,0.007,0.004,0,0.001,41188
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_4_e7_2651_e7_2847,valid,2,0.034,2,19,9,0.006,0.006,0.004,0.001,0.002,40944
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_5,valid,2,0.022,1,12,5,0.003,0.004,0.003,0,0.001,39084
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_5_e7_692_e7_2865,valid,2,0.023,1,12,5,0.003,0.004,0.003,0,0.001,41168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_1,valid,2,0.025,2,22,12,0.006,0.006,0.003,0,0.001,32192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_2,valid,2,0.015,1,12,5,0.002,0.002,0.002,0,0,32200
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_all,valid,3,0.054,1 0,80,57,0.024,0.021,0.009,0.001,0.002,32908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447,invalid,2,0.034,2 1,31,10,0.005,0.008,0.005,0,0.004,32612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e3_1180,valid,2,0.021,2,20,10,0.006,0.005,0.003,0,0.001,32192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e7_2194,invalid,2,0.03,2 1,26,5,0.003,0.006,0.004,0.001,0.004,32776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4,invalid,2,0.057,4 2,71,42,0.018,0.018,0.009,0.001,0.005,32720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e4_1689,invalid,2,0.074,4 2,77,46,0.023,0.024,0.013,0,0.007,33792
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e8_1381_e1_1837,invalid,2,0.094,5 2,122,88,0.04,0.037,0.015,0.001,0.006,33584
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e8_1381_e4_313,invalid,2,0.089,5 2,122,88,0.039,0.036,0.015,0.001,0.007,33680
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1,valid,2,0.015,1,12,5,0.002,0.003,0.002,0,0,31940
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1_e2_982_e7_492,valid,2,0.025,2,22,12,0.006,0.006,0.003,0,0.001,31992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1_e3_1884_e7_1875,valid,2,0.023,2,17,7,0.004,0.006,0.003,0,0.001,32032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2,valid,2,0.016,1,7,0,0,0.003,0.002,0,0,31904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e1_1753,valid,2,0.019,1,7,0,0.001,0.003,0.003,0.001,0,31760
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e2_155,valid,2,0.016,1,7,0,0,0.003,0.002,0,0.001,33564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e2_1599_e8_1334,valid,2,0.039,1,7,0,0.001,0.005,0.003,0,0.001,31860
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929,valid,2,0.017,1,7,0,0,0.003,0.002,0,0,31876
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e4_578,valid,2,0.017,1,7,0,0.001,0.003,0.002,0,0.001,31856
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e5_1826,valid,2,0.021,1,7,0,0,0.003,0.003,0,0.001,31868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e6_2707,valid,2,0.023,1,7,0,0,0.003,0.003,0,0.001,31868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e8_1167,valid,2,0.015,1,7,0,0,0.003,0.002,0,0.001,31780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_101,valid,2,0.021,1,7,0,0.001,0.003,0.002,0,0,31776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_926_e1_1065,valid,2,0.023,1,7,0,0,0.003,0.002,0,0,31992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_926_e8_2138,valid,2,0.019,1,7,0,0.001,0.003,0.002,0,0,31852
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_all,valid,2,0.03,3,25,12,0.006,0.008,0.005,0,0.001,32568
