Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123,valid,2,38.683,3,34,20,0.354,0.014,38.609,0.001,0.005,87756
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e7_837_e7_1262,valid,2,77.731,3,32,18,0.265,0.008,77.691,0.001,0.002,87436
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e7_856,valid,2,34.068,3,29,15,0.151,0.008,34.026,0.001,0.002,77952
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e8_953,valid,2,31.719,3,34,20,0.285,0.01,31.676,0.001,0.002,86604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e8_953_e7_1465,valid,2,35,3,25,11,0.133,0.008,34.957,0,0.002,72300
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e8_953_e8_941,valid,2,44.85,3,32,18,0.237,0.008,44.81,0.001,0.002,81896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2,valid,2,16.952,1,14,6,0.079,0.004,16.926,0,0.001,62692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e8_1118_e7_1043,valid,2,7.308,1,10,2,0.011,0.002,7.285,0,0.001,54824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e8_1118_e8_1177,valid,2,11.612,1,14,6,0.075,0.004,11.588,0,0.001,59464
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e8_656,valid,2,10.379,1,14,6,0.073,0.004,10.355,0,0.001,54252
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3,valid,2,8.565,1,14,6,0.058,0.004,8.539,0,0.001,55612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e7_1444_e7_638,valid,2,7.449,1,15,7,0.047,0.004,7.424,0,0.001,57540
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e7_425,valid,2,4.943,1,10,2,0.01,0.003,4.918,0,0.001,48872
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1329_e7_1062,valid,2,7.858,1,10,2,0.015,0.003,7.834,0,0.001,51432
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1329_e8_320,valid,2,13.099,1,14,6,0.084,0.004,13.076,0,0.001,62244
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1708,valid,2,12.106,1,14,6,0.105,0.004,12.081,0,0.001,60436
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_4,valid,2,0.027,1,16,8,0.004,0.004,0.005,0,0.001,31920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_4_e8_420_e7_572,valid,2,0.027,1,16,8,0.003,0.004,0.004,0,0.001,33508
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_4_e8_420_e8_1525,valid,2,0.027,1,16,8,0.003,0.003,0.005,0,0.001,33656
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_4_e8_974,valid,2,0.027,1,16,8,0.003,0.003,0.004,0,0.001,31960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all,valid,2,43.283,4,43,26,0.269,0.014,43.226,0.001,0.003,81244
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e7_907,valid,2,15.849,4,35,18,0.107,0.01,15.796,0.001,0.002,63992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e7_907_e7_1363,valid,2,26.336,4,42,25,0.279,0.014,26.279,0.001,0.003,76224
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e8_251,valid,2,28.116,4,43,26,0.273,0.014,28.056,0.001,0.003,74532
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6counters_e8_371_e2_80,valid,2,0.011,0,4,0,0,0.001,0.001,0,0,28676
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e2_63,valid,2,0.036,1,12,4,0.003,0.003,0.016,0,0.001,32400
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e3_329_e4_1,valid,2,0.036,1,12,4,0.003,0.004,0.016,0,0.001,32448
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e7_145_e2_169,valid,2,0.041,3,20,6,0.006,0.007,0.01,0,0.002,33580
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_1,valid,2,0.056,3,14,0,0.001,0.005,0.006,0.001,0.002,37056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_1_e7_1669,valid,2,0.057,3,18,4,0.003,0.008,0.007,0,0.002,36972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_2,invalid,2,0.119,4 1,38,6,0.006,0.013,0.016,0.001,0.012,41152
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_4,valid,2,0.052,2,22,11,0.006,0.006,0.006,0,0.002,39140
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_4_e7_1775_e7_3320,valid,2,0.049,2,20,9,0.005,0.005,0.006,0,0.002,41008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_5,valid,2,0.048,2,15,4,0.003,0.005,0.005,0,0.002,39024
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_5_e7_3307,valid,2,0.048,2,19,8,0.004,0.006,0.006,0,0.002,41176
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_6,valid,2,0.048,2,15,4,0.002,0.004,0.005,0,0.002,41100
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_6_e7_1096_e7_2688,valid,2,0.043,2,15,4,0.002,0.005,0.005,0,0.002,39152
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7,valid,2,0.126,6,56,33,0.019,0.018,0.017,0.001,0.005,39212
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e1_2192_e1_1852,valid,2,0.175,8,75,46,0.028,0.029,0.025,0.002,0.006,41088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e2_2724_e7_524,valid,2,0.12,6,49,26,0.016,0.018,0.018,0.001,0.005,38956
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e3_59_e7_2122,valid,2,0.12,6,50,27,0.018,0.021,0.018,0.001,0.005,41204
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e7_3176,valid,2,0.135,6,58,35,0.026,0.027,0.022,0.001,0.004,41048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e7_3176_e1_2924,valid,3,0.278,2 0,188,148,0.116,0.054,0.09,0.001,0.01,41200
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e8_2126_e7_78,valid,2,0.124,6,60,37,0.021,0.022,0.018,0.001,0.005,39128
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_all_e1_2706_e7_1776,valid,2,0.119,6,54,31,0.018,0.018,0.016,0.001,0.004,41204
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_all_e2_1117_e7_553,valid,2,0.113,6,35,12,0.011,0.017,0.015,0.001,0.004,39152
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_all_e3_557_e7_3464,valid,2,0.125,6,59,36,0.02,0.02,0.018,0.001,0.005,38964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_all_e7_591,valid,3,0.199,2 0,143,105,0.054,0.041,0.037,0.001,0.01,41104
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_all_e8_505_e7_2450,valid,2,0.14,7,66,40,0.022,0.022,0.018,0.001,0.005,41096
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/protocol/rtp_1,valid,2,0.039,1,13,5,0.003,0.003,0.008,0,0.001,53512
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/protocol/rtp_2,valid,2,0.05,2,20,9,0.005,0.005,0.01,0,0.002,53416
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/protocol/swimmingpool_4,invalid,2,0.069,2 1,22,0,0.002,0.009,0.016,0,0.006,33640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/protocol/swimmingpool_4_e7_2197,invalid,2,0.076,2 1,22,0,0.002,0.01,0.018,0,0.006,34284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/protocol/swimmingpool_5,invalid,2,0.124,2 1,49,23,0.031,0.02,0.047,0,0.008,38528
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_3_e2_695,valid,2,0.023,1,13,5,0.003,0.003,0.003,0,0.001,33472
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_3_e8_33_e2_1010,valid,2,0.023,1,13,5,0.003,0.003,0.003,0,0.001,33492
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_4_e3_57_e4_1047,valid,2,0.022,1,12,4,0.002,0.003,0.003,0,0.001,32872
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_5_e2_405_e2_1083,invalid,2,0.331,10 2,216,163,0.169,0.071,0.154,0.002,0.018,43596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_5_e2_405_e3_473,invalid,2,0.352,11 3,224,168,0.173,0.077,0.161,0.002,0.021,43732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_5_e2_405_e8_1055,invalid,2,0.321,9 1,210,160,0.168,0.068,0.155,0.001,0.018,43612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_5_e3_11_e1_429,invalid,2,1.96,9 1,270,220,1.344,0.118,1.685,0.001,0.029,142284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_5_e7_244_e2_693,invalid,2,0.333,11 3,206,150,0.161,0.071,0.153,0.001,0.02,42648
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_6_e2_589_e2_506,invalid,2,0.254,10 1,260,206,0.122,0.081,0.07,0.002,0.019,33828
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_6_e2_589_e3_349,invalid,2,0.278,11 2,269,212,0.14,0.081,0.095,0.001,0.021,35300
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_6_e2_893,invalid,2,0.253,10 1,260,206,0.122,0.082,0.073,0.001,0.02,34348
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_6_e3_294_e1_956,invalid,2,2.113,11 2,324,267,1.448,0.15,1.804,0.003,0.034,144068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/hysteresis_1,valid,2,0.01,0,4,0,0,0.001,0.002,0,0,30124
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/metros_1_e8_725,valid,2,0.042,1,11,3,0.004,0.007,0.008,0,0.001,33640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/metros_1_e8_725_e1_919,valid,2,0.041,1,11,3,0.004,0.007,0.007,0,0.001,32572
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/metros_1_e8_725_e2_1144,valid,2,0.039,1,11,3,0.004,0.007,0.007,0,0.001,33764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/metros_2_e1_1116_e3_287,invalid,2,223.492,20 10,809,723,194.74,0.633,222.29,0.006,0.11,1125772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/PRODUCER_CONSUMER_2,valid,2,0.028,1,14,6,0.003,0.003,0.004,0,0.001,32040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/PRODUCER_CONSUMER_3,valid,2,0.047,1,12,4,0.003,0.004,0.017,0,0.001,32596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/PRODUCER_CONSUMER_all,valid,2,0.049,2,23,12,0.007,0.006,0.017,0,0.001,33284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/speed_e7_207,valid,2,0.01,0,4,0,0,0.001,0.002,0,0,29612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/speed_e7_207_e7_538,valid,2,0.009,0,4,0,0,0.001,0.002,0,0,29852
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/speed_e7_207_e8_507,valid,2,0.013,0,4,0,0,0.001,0.002,0,0,29920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/speed_e8_649,valid,2,0.01,0,4,0,0,0.001,0.002,0,0,29808
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/speed_e8_649_e7_709,valid,2,0.009,0,4,0,0,0.001,0.002,0,0,29360
experimental-result-main/kind2-benchmarks-master/FunctionalChain/controlLaw/controlLaw,valid,2,0.038,2,15,4,0.002,0.004,0.002,0.001,0.001,34896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark,valid,3,0.035,4 2,76,52,0.019,0.016,0.005,0,0.001,29072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave01,valid,3,0.503,2 0,180,155,0.083,0.054,0.039,0,0.006,84908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave05,valid,3,1.925,13 8,262,202,0.257,0.11,1.272,0.001,0.022,86920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave17,valid,3,0.923,10 3,460,409,0.216,0.132,0.099,0.002,0.016,97212
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave19,valid,4,1.564,6 1 0,781,705,0.356,0.205,0.161,0.002,0.027,88892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave21,valid,3,5.237,16 11,486,402,3.319,0.211,3.217,0.003,0.031,95140
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave22,valid,4,80.251,13 7 3,946,839,56.467,0.479,78.112,0.004,0.066,98732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave24,valid,3,1.357,6 2,294,256,0.814,0.087,0.747,0.001,0.01,90832
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave26,valid,3,48.646,9 5,442,374,33.05,0.251,47.161,0.002,0.032,94960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2,valid,3,0.086,2 0,122,105,0.041,0.03,0.012,0,0.007,34088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600,valid,3,0.112,2 0,122,105,0.064,0.044,0.016,0,0.006,33992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150,valid,3,0.089,2 0,122,105,0.043,0.032,0.012,0,0.006,33824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2_e6_3003_e4_15091,valid,3,0.089,2 0,122,105,0.045,0.032,0.012,0,0.006,34092
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2_e7_12307,valid,3,0.089,2 0,122,105,0.044,0.032,0.012,0,0.006,33976
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr2_e8_21449_e5_18210,valid,3,0.052,1 0,58,45,0.018,0.015,0.006,0,0.004,32956
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10,valid,2,0.043,2,20,10,0.006,0.007,0.004,0,0.002,59576
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749,valid,2,0.042,2,20,10,0.006,0.007,0.004,0,0.002,57476
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e1_998,valid,2,0.045,2,20,10,0.007,0.007,0.005,0,0.002,57732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e2_2785_e3_1744,valid,2,0.044,2,20,10,0.007,0.007,0.004,0,0.002,59792
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e2_402,valid,2,0.041,2,20,10,0.007,0.007,0.004,0,0.002,57704
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e3_144_e5_2046,valid,2,0.041,2,20,10,0.006,0.007,0.004,0,0.002,57784
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_10_e3_3429,valid,2,0.041,2,20,10,0.006,0.006,0.004,0,0.002,57656
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4,valid,3,0.046,1 0,46,29,0.014,0.011,0.009,0.001,0.002,36912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e3_2970,valid,2,0.066,5,48,29,0.016,0.017,0.01,0.001,0.004,37144
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e3_2542,valid,2,0.054,4,37,21,0.013,0.013,0.008,0,0.003,41308
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e2_2812,valid,2,0.052,4,37,21,0.011,0.012,0.009,0,0.003,39088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_1,valid,2,0.021,1,14,7,0.003,0.003,0.002,0,0.001,39036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_2_e2_2367_e1_3182,valid,2,0.021,1,9,2,0.001,0.003,0.003,0,0.001,41204
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_all,valid,2,0.065,5,46,27,0.016,0.016,0.011,0,0.003,43004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_1_e2_162_e7_1545,valid,2,0.015,1,14,7,0.003,0.003,0.002,0,0,32168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_3,valid,4,0.258,4 1 0,342,285,0.151,0.096,0.088,0.001,0.014,34304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_3_e2_819_e1_1145,valid,4,0.263,4 1 0,342,285,0.155,0.099,0.089,0.001,0.014,34272
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_3_e2_819_e4_1595,valid,4,0.263,4 1 0,342,285,0.153,0.098,0.089,0.001,0.015,34200
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_3_e3_2669,valid,4,0.222,3 1 0,271,213,0.112,0.08,0.071,0.002,0.013,35456
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_4,valid,3,0.04,1 0,56,39,0.016,0.013,0.006,0,0.002,32808
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_4_e7_1140_e7_433,valid,3,0.049,2 1,66,46,0.021,0.017,0.008,0,0.002,32708
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_all_e4_1147_e7_497,valid,2,0.03,3,34,21,0.01,0.009,0.004,0.001,0.001,33472
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e1_1292,valid,3,0.068,7 4,106,77,0.034,0.027,0.012,0.001,0.003,32872
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e6_2281,valid,3,0.075,7 4,127,95,0.038,0.031,0.014,0.001,0.004,33020
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e2_1439_e1_954,valid,3,0.045,5 4,65,40,0.017,0.016,0.009,0,0.003,32840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e3_1666_e5_1558,valid,3,0.047,6 4,60,33,0.016,0.017,0.007,0.001,0.003,32592
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e7_334_e2_62,valid,2,0.03,4,33,17,0.01,0.011,0.004,0,0.001,32592
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex3,valid,3,0.052,4 3,81,59,0.025,0.02,0.009,0.001,0.002,32780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_2,valid,2,0.033,2,20,10,0.006,0.008,0.004,0.001,0.001,39020
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7,valid,2,0.068,6,56,34,0.018,0.02,0.009,0.001,0.004,39148
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e1_2192_e1_1852,valid,2,0.112,9,74,43,0.028,0.037,0.014,0.001,0.007,39212
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_1_e7_4234,valid,2,0.029,1,9,2,0.001,0.003,0.003,0,0.001,57624
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_4,valid,2,0.043,2,22,12,0.007,0.007,0.005,0.001,0.002,59548
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_all,valid,2,0.075,4,40,24,0.013,0.017,0.007,0,0.003,57508
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_10,valid,2,0.035,2,22,12,0.006,0.007,0.003,0,0.001,53596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_3,valid,2,0.035,2,22,12,0.006,0.007,0.004,0,0.001,53472
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_4,valid,2,0.033,2,22,12,0.005,0.007,0.003,0.001,0.001,53404
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_6,valid,2,0.037,2,22,12,0.006,0.007,0.003,0,0.001,55364
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_7,valid,2,0.037,2,22,12,0.006,0.008,0.004,0,0.002,53560
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_8,valid,2,0.035,2,22,12,0.006,0.007,0.004,0,0.001,53364
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_9,valid,2,0.036,2,24,14,0.007,0.007,0.004,0,0.001,53448
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_all,valid,2,0.169,10,94,60,0.039,0.058,0.015,0.001,0.007,63636
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341,invalid,4,0.508,12 8 5 2,592,505,0.301,0.247,0.091,0.002,0.034,36264
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_6_e7_399,invalid,3,0.655,16 10 4,748,669,0.413,0.309,0.131,0.002,0.033,36788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_8,invalid,4,0.834,14 11 7 3,1039,940,0.582,0.404,0.183,0.002,0.055,37648
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_9,invalid,7,2.226,18 14 12 9 6 4 2,2509,2314,1.65,1.004,0.558,0.003,0.188,43684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2,valid,4,0.049,2 1 0,92,69,0.028,0.02,0.009,0,0.002,32784
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2_e7_1027_e1_1047,valid,3,0.04,3 2,58,39,0.016,0.014,0.006,0,0.002,33200
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2_e7_1027_e7_359,valid,4,0.055,4 3 2,101,74,0.028,0.022,0.01,0,0.003,32780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2_e8_491_e7_826,valid,3,0.032,3 2,48,31,0.012,0.011,0.005,0,0.002,32464
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3,valid,3,0.043,3 2,69,48,0.02,0.017,0.007,0.001,0.002,32696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e7_626,valid,3,0.035,2 1,56,38,0.014,0.012,0.005,0,0.002,32240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e8_33,valid,3,0.059,3 2,67,46,0.022,0.022,0.008,0,0.004,32792
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e8_33_e7_220,valid,3,0.04,3 2,63,42,0.017,0.016,0.006,0,0.002,33504
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all,valid,3,0.088,3 1,149,117,0.047,0.042,0.013,0.001,0.004,33728
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e2_142,valid,3,0.073,2 1,101,71,0.032,0.032,0.01,0.001,0.004,32912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e2_142_e7_209,valid,3,0.094,4 2,148,110,0.047,0.042,0.013,0.001,0.005,33028
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e3_1068_e4_275,valid,3,0.079,2 1,101,71,0.034,0.033,0.011,0.001,0.004,32748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e7_188_e7_743,valid,3,0.126,3 1,134,103,0.06,0.054,0.02,0.001,0.008,33748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e8_856,valid,3,0.096,4 2,153,119,0.051,0.045,0.015,0.001,0.004,33156
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e8_856_e2_585,valid,3,0.117,3 1,150,115,0.062,0.056,0.018,0.001,0.007,33164
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e8_856_e7_578,valid,3,0.163,6 3,183,142,0.081,0.072,0.027,0.002,0.009,33840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_1,valid,3,0.083,1 0,101,75,0.033,0.032,0.008,0.001,0.006,33404
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_1_e8_747_e8_1041,valid,3,0.074,1 0,94,71,0.03,0.028,0.007,0,0.005,32364
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_1_e8_751,valid,3,0.089,2 1,107,78,0.036,0.036,0.009,0.001,0.007,33516
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_2,valid,3,0.134,2 1,146,108,0.054,0.056,0.012,0.001,0.01,33404
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_2_e8_460_e8_1920,valid,3,0.184,2 1,122,90,0.062,0.066,0.017,0.002,0.015,33440
