Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.042,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.004,0,0.002,8,4,8,3,0,0,N/A,3,4,N/A,0.819,0.761,57836
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.031,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,5,3,5,2,0,0,N/A,2,2,N/A,0.675,0.572,57632
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888,valid,2,0.043,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0.001,0.002,8,4,8,3,0,0,N/A,3,4,N/A,0.819,0.761,59668
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_5070,valid,2,0.041,2,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0.001,0.002,10,6,10,0,0,0,N/A,5,4,N/A,0.841,0.757,57788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997,valid,2,0.039,2,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0.001,0.002,9,5,8,0,0,0,N/A,4,3,N/A,0.83,0.608,57636
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409,valid,2,0.029,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0.001,5,3,5,2,0,0,N/A,2,2,N/A,0.675,0.572,57684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881,valid,2,0.044,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0,0.002,8,4,8,3,0,0,N/A,3,4,N/A,0.819,0.761,57704
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162,invalid,2,0.279,15 8,132,0,0,0,N/A,N/A,N/A,N/A,N/A,0.067,0.035,0.003,0.025,110,89,105,24,0,0,N/A,18,12,N/A,2.567,1.676,57616
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998,invalid,2,0.366,12 6,150,0,0,0,N/A,N/A,N/A,N/A,N/A,0.105,0.05,0.003,0.028,130,110,128,26,0,0,N/A,19,13,N/A,2.982,1.816,57624
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753,invalid,2,0.427,16 9,174,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.107,0.06,0.005,0.033,146,125,146,24,0,0,N/A,21,15,N/A,3.139,1.98,57816
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298,invalid,2,0.302,10 5,120,0,0,0,N/A,N/A,N/A,N/A,N/A,0.078,0.044,0.002,0.029,84,69,81,3,0,0,N/A,10,8,N/A,2.176,1.385,57592
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,0.289,14 7,117,0,0,0,N/A,N/A,N/A,N/A,N/A,0.075,0.038,0.003,0.028,103,83,99,30,0,0,N/A,16,12,N/A,2.454,1.694,59864
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2,valid,2,0.03,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.004,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.91,0.91,59720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e1_2316,valid,2,0.031,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.004,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.91,0.91,59720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644,valid,2,0.037,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.005,0,0.003,1,0,1,0,0,0,N/A,1,1,N/A,0.91,0.91,59628
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580,valid,2,0.031,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.005,0.001,0.001,3,1,3,1,0,0,N/A,1,2,N/A,0.91,0.995,59836
