Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.042,2,15,0,0,0,0,0,0,0,0,0.006,0.004,0,0.004,8,4,8,3,3,0,2,3,4,7.605,0.819,0.761,0,0.021,2,0,0,59612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.035,1,10,0,0,0,0,0,0,0,0,0.005,0.003,0,0.002,5,3,5,2,2,0,1,2,2,6.462,0.675,0.572,0,0.021,1,0,0,57800
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888,valid,2,0.045,2,15,0,0,0,0,0,0,0,0,0.006,0.004,0.001,0.004,8,4,8,3,3,0,2,3,4,7.602,0.819,0.761,0,0.021,2,0,0,59844
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_5070,valid,2,0.043,2,20,0,0,0,0,0,0,0,0,0.007,0.004,0,0.003,10,6,10,0,8,0,2,5,4,7.764,0.841,0.757,0,0.021,2,0,0,59760
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997,valid,2,0.041,2,18,0,0,0,0,0,0,0,0,0.006,0.004,0,0.003,9,5,8,0,6,0,1,4,3,6.574,0.83,0.608,1,6.08,2,0,0,57568
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409,valid,2,0.033,1,10,0,0,0,0,0,0,0,0,0.004,0.003,0,0.002,5,3,5,2,2,0,1,2,2,6.465,0.675,0.572,0,0.021,1,0,0,57640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881,valid,2,0.047,2,15,0,0,0,0,0,0,0,0,0.006,0.005,0,0.004,8,4,8,3,3,0,2,3,4,7.598,0.819,0.761,0,0.021,2,0,0,57820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162,invalid,2,0.308,17 10,96,0,0,0,0,0,0,0.001,0,0.068,0.026,0.005,0.034,127,104,122,43,61,26,11,20,13,20.657,3.243,1.945,1,7.068,17,9,0,57848
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998,invalid,2,0.334,13 5,106,0,0,0,0,0,0.003,0.001,0,0.092,0.032,0.003,0.04,189,164,186,53,116,67,17,20,14,31.07,3.06,1.873,1,7.196,20,9,0,59692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753,invalid,2,0.172,8 3,59,0,0,0,0,0,0,0,0,0.034,0.018,0.001,0.023,52,38,49,11,29,12,9,8,8,14.815,1.734,1.343,1,6.711,9,5,0,59724
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298,invalid,2,0.298,15 8,94,0,0,0,0,0,0.001,0.001,0,0.064,0.027,0.003,0.039,120,104,118,21,82,43,16,16,9,26.212,2.789,1.569,1,6.751,11,6,0,57668
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,0.233,12 6,66,0,0,0,0,0,0.001,0,0,0.046,0.02,0.002,0.034,72,57,67,5,51,35,11,12,8,22.165,2.096,1.337,1,6.761,11,6,0,57872
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2,valid,2,0.03,1,7,0,0,0,0,0,0,0,0,0.003,0.004,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.91,0.91,0,0.021,0,0,0,61876
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e1_2316,valid,2,0.029,1,7,0,0,0,0,0,0,0,0,0.004,0.004,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.91,0.91,0,0.021,0,0,0,61908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644,valid,2,0.03,1,7,0,0,0,0,0,0,0,0,0.003,0.004,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.91,0.91,0,0.021,0,0,0,59656
