Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753,invalid,2,0.207,9 4,118,0,0,0,0,0,0.041,0.023,0.001,0.027,33,13,7,16.653,1,7.47,50,7,0,57752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298,invalid,2,0.238,11 5,139,0,0,0,0.001,0,0.052,0.03,0.001,0.032,34,14,8,18.301,1,7.084,61,6,0,57552
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,0.443,21 14,299,0,0.001,0.001,0.001,0,0.109,0.049,0.003,0.055,114,37,19,32.743,1,8.041,140,10,0,59640
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2,valid,2,0.032,1,7,0,0,0,0,0,0.004,0.005,0,0.001,0,0,0,0.021,0,0.021,0,0,0,61740
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e1_2316,valid,2,0.03,1,7,0,0,0,0,0,0.003,0.004,0,0.001,0,0,0,0.021,0,0.021,0,0,0,61804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644,valid,2,0.031,1,7,0,0,0,0,0,0.004,0.004,0,0.001,0,0,0,0.021,0,0.021,0,0,0,61840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580,valid,2,0.03,1,9,0,0,0,0,0,0.004,0.004,0,0.001,0,0,0,0.021,0,0.021,1,0,0,61612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972,valid,2,0.03,1,9,0,0,0,0,0,0.003,0.005,0,0.001,0,0,0,0.021,0,0.021,1,0,0,61632
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_4481,valid,2,0.032,1,9,0,0,0,0,0,0.004,0.004,0,0.001,0,0,0,0.021,0,0.021,1,0,0,59584
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e7_25_e8_3171,valid,2,0.029,1,7,0,0,0,0,0,0.003,0.004,0,0.001,0,0,0,0.021,0,0.021,0,0,0,59604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3,valid,2,0.043,1,14,0,0,0,0,0,0.006,0.007,0,0.003,0,0,0,0.021,1,6.312,4,0,0,61604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783,valid,2,0.039,1,14,0,0,0,0,0,0.005,0.009,0,0.003,0,0,0,0.021,1,6.257,4,0,0,61596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755,valid,2,0.04,1,12,0,0,0,0,0,0.004,0.01,0,0.003,0,0,0,0.021,1,6.257,3,0,0,59780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158,valid,2,0.038,1,14,0,0,0,0,0,0.005,0.007,0,0.003,0,0,0,0.021,1,6.319,4,0,0,61844
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511,valid,2,0.038,1,12,0,0,0,0,0,0.004,0.008,0,0.003,0,0,0,0.021,1,6.257,3,0,0,59624
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988,valid,2,0.038,1,14,0,0,0,0,0,0.005,0.007,0,0.002,0,0,0,0.021,1,6.319,4,0,0,59696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_3846,valid,2,0.038,1,14,0,0,0,0,0,0.006,0.008,0,0.002,0,0,0,0.021,1,6.2,4,0,0,59524
