Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4,valid,2,0.025,2,14,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0.001,0.001,8,4,6,2,0,0,N/A,4,2,N/A,0.741,0.466,31900
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e1_956,invalid,2,0.369,9 0,219,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.185,0.055,0.003,0.021,175,153,175,2,0,0,N/A,12,11,N/A,2.156,1.922,34228
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e2_704_e3_76,invalid,2,0.825,28 15,385,0,0,0.007,N/A,N/A,N/A,N/A,N/A,0.421,0.125,0.005,0.041,395,354,390,74,0,0,N/A,37,23,N/A,4.554,3.766,36308
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_3_e3_1275_e6_1315,valid,14,15.997,25 19 16 15 14 11 9 7 6 5 4 3 1,4486,0.004,0.03,0.37,N/A,N/A,N/A,N/A,N/A,6.835,2.835,0.074,2.32,8653,8082,8225,4712,0,0,N/A,496,35,N/A,27.286,5.689,93324
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e1_846_e3_1060,valid,4,0.28,12 10 7,157,0,0,0,N/A,N/A,N/A,N/A,N/A,0.131,0.037,0.005,0.017,142,120,137,33,0,0,N/A,28,12,N/A,2.517,1.8,34396
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e2_142,valid,3,0.071,3 2,43,0,0,0,N/A,N/A,N/A,N/A,N/A,0.032,0.007,0.002,0.004,26,17,23,7,0,0,N/A,11,6,N/A,1.939,1.1,32656
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/hysteresis_1,valid,2,0.011,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,31044
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e7_1255_e7_12,valid,4,0.293,7 5 3,177,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.125,0.044,0.004,0.023,143,107,121,17,0,0,N/A,25,10,N/A,2.553,1.595,34504
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_3_e3_1275_e5_846,invalid,4,30.147,145 125 89 32,7123,0.001,0.002,1.545,N/A,N/A,N/A,N/A,N/A,14.488,7.734,0.024,2.144,6995,6792,6976,148,0,0,N/A,143,67,N/A,14.804,10.253,164224
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_1_e8_747_e8_1041,valid,3,0.071,2 1,45,0,0,0,N/A,N/A,N/A,N/A,N/A,0.024,0.005,0.001,0.007,30,16,21,6,0,0,N/A,5,5,N/A,1.043,0.928,32404
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/cd,valid,9,2.154,66 65 63 60 56 49 37 19,1395,0,0.001,0.017,N/A,N/A,N/A,N/A,N/A,0.962,0.342,0.017,0.219,1569,1288,1383,399,0,0,N/A,77,20,N/A,8.79,3.004,38320
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e3_1091_e1_1044,invalid,4,18.496,97 89 60 21,4883,0.001,0.001,0.711,N/A,N/A,N/A,N/A,N/A,9.708,4.249,0.016,0.987,5505,5395,5521,827,0,0,N/A,114,49,N/A,11.375,6.572,96624
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_3,valid,2,0.019,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.001,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.496,0.496,32052
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e2_1102_e3_961,valid,4,0.345,8 6 4,191,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.158,0.042,0.006,0.024,203,173,191,68,0,0,N/A,36,14,N/A,3.427,2.235,34096
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e8_649,valid,2,0.01,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,31048
