Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1a_e7_3042_e3_1213,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95104
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460_e7_471,invalid,0,0.018,N/A,2,0,0,0,0,0,0,0,0,0.001,0.005,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39160
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e3_1259_e1_5798,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59628
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671,invalid,1,153.958,3,35,0,0,0,0,0,0,0.001,0,0.014,153.864,0.001,0.012,20,13,20,1,14,2,4,5,5,8.538,1.261,0.935,1,5.211,5,0,0.001,103904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511_e7_3568,invalid,0,0.018,N/A,2,0,0,0,0,0,0,0,0,0.001,0.006,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37184
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e2_6104,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12_e2_1618_e7_4732,invalid,0,0.022,N/A,2,0,0,0,0,0,0,0,0,0.001,0.008,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e1_3233_e3_2970,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e3_4612_e2_5774,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70164
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9_e7_1843_e3_5316,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144388
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e3_4612_e3_1543,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e2_3678,invalid,1,118.916,7,58,0,0,0,0,0,0.001,0.004,0,0.021,118.699,0.002,0.018,41,25,38,3,27,6,5,10,8,9.951,1.447,1.19,2,6.703,13,2,0.001,128132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e1_1835,valid,4,6.575,11 9 6,88,0,0,0,0,0,0.042,0.021,0.068,0.06,6.169,0.005,0.042,130,122,130,10,111,75,15,13,7,23.788,1.995,1.065,1,6.371,7,0,0,90396
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_1_e1_1092_e2_1853,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37160
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e7_2017_e3_1763,invalid,1,0.164,3,28,0,0,0,0,0,0,0,0,0.013,0.047,0.001,0.009,14,8,15,4,6,0,2,4,6,7.769,1.084,1.105,0,0.021,4,0,0,59696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e7_2017_e1_5832,invalid,1,0.088,0,13,0,0,0,0,0,0,0,0,0.006,0.026,0,0.005,2,0,3,0,1,0,0,1,2,0.021,0.485,0.556,0,0.021,1,0,0,57776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,1.284,6 2,52,0,0,0,0,0,0,0.001,0,0.032,1.048,0.001,0.032,24,7,17,0,8,3,1,7,7,6.777,1.407,1.271,2,7.999,10,7,0.002,57764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460,invalid,1,143.594,3,39,0,0,0,0,0,0,0.002,0,0.017,143.496,0.003,0.014,23,14,23,1,17,3,5,4,5,9.674,1.12,1.032,1,5.398,7,0,0.001,102116
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e7_2329,invalid,1,0.158,4,30,0,0,0,0,0,0,0.001,0,0.016,0.03,0.001,0.01,19,12,19,6,8,2,1,6,6,6.739,1.21,1.056,1,6.683,4,0,0.001,57772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711,valid,2,0.036,1,12,0,0,0,0,0,0,0,0,0.002,0.006,0.001,0.002,4,0,2,0,1,0,0,2,1,0.021,0.544,0.386,2,5.466,3,0,0,35132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_5,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e2_2799_e2_2251,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98172
