Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6counters_e3_140_e8_149,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e8_2126_e7_78,valid,2,0.123,6,60,37,0.021,0.021,0.017,0.001,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6counters,invalid,9,4.518,36 33 29 26 23 22 20 19 14,3592,3276,3.226,0.824,2.572,0.003,0.623
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_3_e7_1312_e7_1495,invalid,0,0.014,N/A,2,0,0,0.001,0.003,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_1_e1_350,invalid,0,0.009,N/A,2,0,0,0.001,0.002,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ex8,invalid,0,0.008,N/A,2,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/two_counters,valid,6,0.526,24 22 20 16 9,838,697,0.343,0.168,0.188,0.003,0.052
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6counters_e8_371_e2_80,valid,2,0.008,0,4,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_4_e7_1775_e7_3320,valid,2,0.05,2,20,9,0.005,0.006,0.006,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e7_145_e1_343,invalid,0,0.009,N/A,2,0,0,0,0.002,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/two_counters_e1_268,invalid,0,0.007,N/A,2,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_3,invalid,0,0.009,N/A,1,0,0,0.001,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e3_329_e5_124,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_1_e2_3,invalid,0,0.01,N/A,2,0,0,0.001,0.002,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_3_e7_334_e1_431,invalid,0,0.008,N/A,1,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_3_e1_36,invalid,0,0.009,N/A,1,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/two_counters_e7_222,invalid,0,0.007,N/A,2,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6counters_e8_371_e3_224,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_3,invalid,0,0.014,N/A,2,0,0,0.001,0.003,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_1_e3_389_e5_5,invalid,0,0.009,N/A,2,0,0,0.001,0.002,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_3_e7_334_e7_118,invalid,0,0.008,N/A,1,0,0,0,0.001,0,0
